epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.52926,0.89826,3.53564,1.25589,0.0089,0.54167,0.03855,0.02995,0.40369,3.44181,0.95196,1.25e-05,1.25e-05,1.25e-05
2,4.43971,0.75989,3.40325,1.14044,0.00983,0.625,0.04983,0.03875,0.4027,3.40003,0.95444,3.68813e-05,3.68813e-05,3.68813e-05
3,5.28879,0.76893,3.2266,1.15583,0.15882,0.66667,0.29012,0.25726,0.38032,2.91228,0.91293,6.04375e-05,6.04375e-05,6.04375e-05
4,6.32199,0.71018,2.46366,1.07945,0.19948,0.70833,0.35977,0.34263,0.4138,2.05816,0.89592,8.31687e-05,8.31687e-05,8.31687e-05
5,7.32879,0.59493,1.7084,1.00314,0.23582,0.91667,0.42421,0.39048,0.41697,2.18963,0.88006,0.000105075,0.000105075,0.000105075
6,8.35541,0.51679,1.33668,0.94776,0.59215,0.54167,0.57083,0.51766,0.39452,2.03794,0.85058,0.000126156,0.000126156,0.000126156
7,9.42983,0.64382,1.31535,1.06426,0.40705,0.65318,0.56523,0.52143,0.41854,1.85426,0.86253,0.000146413,0.000146413,0.000146413
8,10.5326,0.55851,1.02701,0.97668,0.41235,0.87433,0.80972,0.74112,0.4767,1.66148,0.86326,0.000165844,0.000165844,0.000165844
9,11.6223,0.54167,0.94608,0.94577,0.47048,1,0.89327,0.80099,0.5111,1.35897,0.85856,0.00018445,0.00018445,0.00018445
10,13.041,0.48174,0.77628,0.9064,0.53455,0.98796,0.9025,0.81511,0.52015,1.14888,0.86174,0.000202231,0.000202231,0.000202231
11,16.6559,0.57913,0.86507,0.97341,0.88737,0.64441,0.91504,0.84025,0.51552,1.11627,0.86693,0.000219188,0.000219188,0.000219188
12,17.6445,0.62417,0.99129,1.00478,0.79594,0.66667,0.85931,0.76847,0.53929,1.12842,0.87253,0.000235319,0.000235319,0.000235319
13,18.574,0.62199,0.82185,1.00935,0.77155,0.70645,0.74491,0.66525,0.52521,1.26319,0.85916,0.000250625,0.000250625,0.000250625
14,19.468,0.56481,0.74518,0.92926,0.8096,0.75,0.83825,0.75084,0.5195,1.1992,0.85574,0.000265106,0.000265106,0.000265106
15,20.3825,0.5785,0.71222,0.96176,0.83332,0.81143,0.94804,0.83491,0.54294,1.17562,0.85932,0.000278762,0.000278762,0.000278762
16,21.3138,0.51026,0.67175,0.91213,0.78643,0.87002,0.92225,0.80865,0.54104,1.02209,0.86015,0.000291594,0.000291594,0.000291594
17,22.2321,0.57264,0.66203,0.98696,0.8569,0.90817,0.91788,0.82277,0.51187,0.75615,0.8577,0.0003036,0.0003036,0.0003036
18,23.1576,0.61673,0.73979,0.99644,0.89788,0.91274,0.91978,0.80452,0.49755,0.60699,0.86002,0.000314781,0.000314781,0.000314781
19,24.206,0.54308,0.67144,0.93706,0.84815,0.91667,0.89366,0.76832,0.55416,0.65791,0.87916,0.000325137,0.000325137,0.000325137
20,25.4787,0.61503,0.69413,1.0246,0.87376,0.87867,0.88678,0.74314,0.59617,0.68167,0.89694,0.000334669,0.000334669,0.000334669
21,26.7151,0.574,0.67813,1.00261,0.90345,0.88548,0.90425,0.77934,0.58415,0.62802,0.90719,0.000343375,0.000343375,0.000343375
22,27.6094,0.51162,0.56684,0.91309,0.89062,0.88662,0.90643,0.79813,0.56511,0.67067,0.90964,0.000351256,0.000351256,0.000351256
23,28.4824,0.59521,0.65441,0.97605,0.88622,0.91667,0.89986,0.77874,0.61559,0.77314,0.93543,0.000358313,0.000358313,0.000358313
24,29.3395,0.55649,0.621,0.93911,0.77251,0.91667,0.88478,0.77457,0.59913,0.80806,0.94661,0.000364544,0.000364544,0.000364544
25,30.2664,0.49809,0.5535,0.92588,0.73642,0.88621,0.88464,0.75741,0.55719,0.97029,0.92551,0.00036995,0.00036995,0.00036995
26,31.1384,0.46614,0.44502,0.89401,0.67638,0.96272,0.91173,0.74778,0.60243,0.93021,0.91925,0.000374531,0.000374531,0.000374531
27,31.9925,0.54929,0.62616,0.98724,0.85771,0.9043,0.98357,0.80337,0.66611,0.65849,0.98195,0.000378287,0.000378287,0.000378287
28,32.8512,0.50638,0.51478,0.94375,0.85771,0.9043,0.98357,0.80337,0.66611,0.65849,0.98195,0.000381219,0.000381219,0.000381219
29,33.7318,0.60386,0.58225,0.96084,0.99303,0.95687,0.995,0.82661,0.71229,0.50589,1.02067,0.000383325,0.000383325,0.000383325
30,34.667,0.53691,0.54777,0.91117,0.97404,0.99954,0.995,0.82311,0.74278,0.47336,1.00616,0.000384606,0.000384606,0.000384606
31,35.5896,0.59243,0.55205,0.95721,0.97404,0.99954,0.995,0.82311,0.74278,0.47336,1.00616,0.000385062,0.000385062,0.000385062
32,36.4668,0.55451,0.53045,0.96399,0.97215,1,0.995,0.84783,0.60674,0.48082,0.92254,0.000384694,0.000384694,0.000384694
33,37.9504,0.55283,0.51502,0.95946,0.97565,1,0.995,0.86135,0.56586,0.41328,0.89369,0.0003835,0.0003835,0.0003835
34,39.2038,0.54277,0.48881,0.9365,0.97565,1,0.995,0.86135,0.56586,0.41328,0.89369,0.000381481,0.000381481,0.000381481
35,40.4333,0.58978,0.49444,0.99046,0.98421,0.99897,0.995,0.87706,0.55753,0.39979,0.89055,0.000378637,0.000378637,0.000378637
36,41.3989,0.5172,0.43198,0.91424,0.96819,0.97122,0.995,0.85832,0.59766,0.42779,0.90103,0.000374969,0.000374969,0.000374969
37,42.3495,0.46998,0.50043,0.92287,0.96819,0.97122,0.995,0.85832,0.59766,0.42779,0.90103,0.000370475,0.000370475,0.000370475
38,43.2382,0.56606,0.51397,0.96755,0.97207,0.96342,0.995,0.8647,0.5905,0.41902,0.90433,0.000365156,0.000365156,0.000365156
39,44.1453,0.47752,0.45248,0.91412,0.96186,0.96078,0.995,0.86973,0.56631,0.43612,0.90299,0.000359013,0.000359013,0.000359013
40,45.0139,0.49821,0.43653,0.9241,0.96186,0.96078,0.995,0.86973,0.56631,0.43612,0.90299,0.000352044,0.000352044,0.000352044
41,45.9105,0.48781,0.42137,0.91155,0.97295,0.9609,0.995,0.89249,0.53338,0.40876,0.88518,0.00034425,0.00034425,0.00034425
42,46.8763,0.46339,0.39813,0.91455,0.96161,0.95833,0.98929,0.89371,0.54778,0.43891,0.87577,0.000335631,0.000335631,0.000335631
43,47.9315,0.5257,0.4479,0.97353,0.96161,0.95833,0.98929,0.89371,0.54778,0.43891,0.87577,0.000326188,0.000326188,0.000326188
44,48.9958,0.48408,0.41061,0.91597,0.9619,0.95833,0.98929,0.85838,0.57954,0.42937,0.87783,0.000315919,0.000315919,0.000315919
45,50.2514,0.57862,0.44896,0.97689,0.9619,0.95833,0.98929,0.85838,0.57954,0.42937,0.87783,0.000304825,0.000304825,0.000304825
46,51.4335,0.4926,0.41627,0.90922,0.95387,0.96294,0.995,0.88724,0.56318,0.39813,0.87043,0.000292906,0.000292906,0.000292906
47,52.2883,0.44238,0.37108,0.91321,0.95387,0.96294,0.995,0.88724,0.56318,0.39813,0.87043,0.000280162,0.000280162,0.000280162
48,53.1769,0.50031,0.48248,0.97153,0.93478,0.97637,0.995,0.88414,0.55127,0.38078,0.86836,0.000266594,0.000266594,0.000266594
49,54.0322,0.4489,0.3909,0.91249,0.93478,0.97637,0.995,0.88414,0.55127,0.38078,0.86836,0.0002522,0.0002522,0.0002522
50,54.9529,0.56149,0.43452,1.00841,0.9005,1,0.995,0.90352,0.52338,0.40156,0.85519,0.000236981,0.000236981,0.000236981
51,56.8782,0.37144,0.37766,0.85359,0.9005,1,0.995,0.90352,0.52338,0.40156,0.85519,0.00021875,0.00021875,0.00021875
52,58.0255,0.36585,0.34364,0.83619,0.96156,1,0.995,0.86941,0.52015,0.40275,0.85825,0.000198125,0.000198125,0.000198125
53,58.8647,0.36514,0.34629,0.81714,0.96156,1,0.995,0.86941,0.52015,0.40275,0.85825,0.0001775,0.0001775,0.0001775
54,59.7649,0.34587,0.32941,0.81726,0.96018,1,0.995,0.85235,0.54482,0.42128,0.87726,0.000156875,0.000156875,0.000156875
55,60.616,0.38004,0.32968,0.84675,0.96018,1,0.995,0.85235,0.54482,0.42128,0.87726,0.00013625,0.00013625,0.00013625
56,61.5309,0.34483,0.32596,0.82169,0.90505,1,0.995,0.86995,0.55312,0.42582,0.90267,0.000115625,0.000115625,0.000115625
57,62.8909,0.35075,0.41495,0.81459,0.90505,1,0.995,0.86995,0.55312,0.42582,0.90267,9.5e-05,9.5e-05,9.5e-05
58,64.064,0.35224,0.31551,0.83088,0.9494,1,0.995,0.8619,0.55658,0.40038,0.92302,7.4375e-05,7.4375e-05,7.4375e-05
59,64.9104,0.33759,0.31511,0.82346,0.9494,1,0.995,0.8619,0.55658,0.40038,0.92302,5.375e-05,5.375e-05,5.375e-05
60,65.8133,0.36144,0.32209,0.84342,0.96203,1,0.995,0.87159,0.5456,0.38054,0.92098,3.3125e-05,3.3125e-05,3.3125e-05
